         201441     7334089   201441202220                            9999D          139.330154      -25.745638DEG  GDA94       GPS      0.050m            1  55.254m    AHD  GPS  TR      0.100m           1  76.640m     GRS80  ELL     0.050m        1    9789832.9000um   B      0.30um       1CG5   90640             55.254m    GPS     0.100m         1   76.640m    ELL     0.050m        1  21.386m    AUSGEOID98  GRS80       W98     0.060m        3            0.02um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5        1.40      -85.51      -64.74     -126.57  1Line: 2                                               
         201441     7333971   201441202240                            9999D          139.330647      -25.742065DEG  GDA94       GPS      0.050m            1  55.527m    AHD  GPS  TR      0.100m           1  76.928m     GRS80  ELL     0.050m        1    9789829.0300um   B      0.30um       1CG5   90640             55.527m    GPS     0.100m         1   76.928m    ELL     0.050m        1  21.401m    AUSGEOID98  GRS80       W98     0.060m        3            0.03um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5        0.95      -86.29      -65.24     -127.38  1Line: 2                                               
         201441     7334080   201441202260                            9999D          139.330967      -25.738479DEG  GDA94       GPS      0.050m            1  55.815m    AHD  GPS  TR      0.100m           1  77.229m     GRS80  ELL     0.050m        1    9789824.4800um   B      0.30um       1CG5   90640             55.815m    GPS     0.100m         1   77.229m    ELL     0.050m        1  21.415m    AUSGEOID98  GRS80       W98     0.060m        3            0.01um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5       -0.14      -87.72      -66.37     -128.83  1Line: 2                                               
         201441     7333232   201441202280                            9999D          139.330637      -25.734906DEG  GDA94       GPS      0.050m            1  56.156m    AHD  GPS  TR      0.100m           1  77.584m     GRS80  ELL     0.050m        1    9789819.5400um   B      0.30um       1CG5   90640             56.156m    GPS     0.100m         1   77.584m    ELL     0.050m        1  21.428m    AUSGEOID98  GRS80       W98     0.060m        3            0.02um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5       -1.46      -89.45      -67.74     -130.58  1Line: 2                                               
         201441     7333226   201441202300                            9999D          139.330307      -25.731299DEG  GDA94       GPS      0.050m            1  57.560m    AHD  GPS  TR      0.100m           1  79.001m     GRS80  ELL     0.050m        1    9789812.5600um   B      0.30um       1CG5   90640             57.560m    GPS     0.100m         1   79.001m    ELL     0.050m        1  21.441m    AUSGEOID98  GRS80       W98     0.060m        3            0.03um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5       -1.52      -91.12      -67.84     -132.25  1Line: 2                                               
         201441     7333606   201441202320                            9999D          139.329940      -25.727696DEG  GDA94       GPS      0.050m            1  57.660m    AHD  GPS  TR      0.100m           1  79.114m     GRS80  ELL     0.050m        1    9789807.9500um   B      0.30um       1CG5   90640             57.660m    GPS     0.100m         1   79.114m    ELL     0.050m        1  21.454m    AUSGEOID98  GRS80       W98     0.060m        3            0.03um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5       -3.24      -92.96      -69.59     -134.12  1Line: 2                                               
         201441     7333514   201441202340                            9999D          139.329598      -25.724106DEG  GDA94       GPS      0.050m            1  57.981m    AHD  GPS  TR      0.100m           1  79.448m     GRS80  ELL     0.050m        1    9789802.1800um   B      0.30um       1CG5   90640             57.981m    GPS     0.100m         1   79.448m    ELL     0.050m        1  21.467m    AUSGEOID98  GRS80       W98     0.060m        3            0.06um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5       -5.45      -95.55      -71.84     -136.72  1Line: 2                                               
         201441     7333515   201441202360                            9999D          139.329267      -25.720500DEG  GDA94       GPS      0.050m            1  59.072m    AHD  GPS  TR      0.100m           1  80.552m     GRS80  ELL     0.050m        1    9789793.4700um   B      0.30um       1CG5   90640             59.072m    GPS     0.100m         1   80.552m    ELL     0.050m        1  21.480m    AUSGEOID98  GRS80       W98     0.060m        3            0.06um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5       -8.21      -99.56      -74.64     -140.74  1Line: 2                                               
         201441     7333516   201441202380                            9999D          139.328925      -25.716893DEG  GDA94       GPS      0.050m            1  59.582m    AHD  GPS  TR      0.100m           1  81.074m     GRS80  ELL     0.050m        1    9789787.1200um   B      0.30um       1CG5   90640             59.582m    GPS     0.100m         1   81.074m    ELL     0.050m        1  21.493m    AUSGEOID98  GRS80       W98     0.060m        3            0.07um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5      -10.40     -102.34      -76.87     -143.54  1Line: 2                                               
         201441     7334528   201441202400                            9999D          139.328583      -25.713314DEG  GDA94       GPS      0.050m            1  60.228m    AHD  GPS  TR      0.100m           1  81.733m     GRS80  ELL     0.050m        1    9789780.6100um   B      0.30um       1CG5   90640             60.228m    GPS     0.100m         1   81.733m    ELL     0.050m        1  21.505m    AUSGEOID98  GRS80       W98     0.060m        3            0.07um   RTC      2.67      3.00um        320/NOV/14   17/APR/15       5      -12.35     -105.04      -78.86     -146.25  1Line: 2                                               
